m_id,me_id,employment_status,eff_dt
21933,185830,Service Start,2006-05-29
108256,223851,Service Start,1994-01-16
44118,178283,Service Start,2016-04-11
44249,129709,Service Start,2004-12-13
21194,258824,Service Start,2002-01-21
12667,239992,Service Start,2002-02-25
25292,216586,Service Start,2010-04-26
90397,256869,Service Start,2009-02-17
118587,260211,Service Start,2002-11-18
107456,200874,Service Start,2001-04-30
118328,151622,Service Start,2007-12-14
18316,262316,Service Start,2007-07-01
81385,178852,Entered Old DROP,2016-03-18
109350,212202,Service Start,1997-05-16
77327,201654,Service Start,2006-07-24
4265,190137,Service Start,2014-09-19
120273,233218,Hired - Return to Work,2014-09-14
3209,263247,Entered Old DROP,2015-11-24
52352,208964,Service Start,1999-12-05
82002,219907,Entered Old DROP,2016-11-30
98501,186025,Entered Old DROP,2013-07-14
114091,191291,Service Start,1984-01-23
69727,209038,Entered Old DROP,2017-01-18
36825,146776,Hired - Return to Work,2016-05-22
82990,190513,Service Start,1996-02-20
108155,262387,Service Start,2007-07-01
8664,227904,Entered Old DROP,2015-01-21
37194,191859,Service Start,2016-05-30
19693,125630,Entered Old DROP,2017-01-31
99966,192531,Entered Old DROP,2015-03-21
52161,224391,Service Start,2001-09-02
103559,180451,Service Start,2014-12-15
72201,234545,Service Start,2009-01-02
37929,143386,Service Start,2001-12-24
108496,178251,Service Start,2017-01-23
20697,185570,Service Start,1999-08-11
90626,205344,Service Start,2002-12-09
121301,147867,Service Start,2000-04-03
60092,245218,Entered Old DROP,2017-02-28
109024,154730,Entered Old DROP,2013-09-30
54248,170616,Service Start,2007-07-01
16231,229480,Service Start,2002-01-12
118703,234044,Service Start,2001-02-05
67155,241376,Entered Old DROP,2016-01-31
118951,256700,Service Start,1998-01-25
113176,224678,Service Start,1997-07-05
110237,265840,Entered Old DROP,2015-05-31
80048,196532,Entered Old DROP,2014-10-31
106766,177599,Service Start,2009-07-01
104528,245808,Service Start,1996-07-01
18171,127125,Hired - Return to Work,2013-11-10
9603,149635,Service Start,2001-11-19
50253,175335,Service Start,1992-10-26
99978,163563,Service Start,2008-07-14
52635,178753,Service Start,2001-01-15
103478,261641,Service Start,2000-12-25
44092,243407,Service Start,2007-07-01
32287,178884,Entered Old DROP,2016-04-30
59283,152777,Service Start,2001-10-30
50927,154644,Service Start,2011-09-12
62667,130356,Service Start,1996-09-14
115821,193006,Service Start,1999-12-05
57171,193115,Entered Old DROP,2017-03-31
101389,241204,Service Start,1993-06-28
38804,186959,Entered Old DROP,2017-01-06
70837,235740,Service Start,2001-01-12
83687,243516,Service Start,2006-02-13
38591,167109,Service Start,2006-07-07
34191,174733,Service Start,1989-04-10
77670,188214,Entered Old DROP,2014-08-20
21922,159121,Service Start,1984-07-06
57887,230728,Service Start,2005-01-23
29425,266231,Service Start,2007-09-24
111195,248521,Service Start,2002-01-17
65664,254545,Service Start,2004-11-01
48139,240826,Service Start,1990-10-29
21458,229437,Service Start,1997-12-15
74051,236960,Service Start,2007-07-01
76274,127846,Leave Without Pay,2017-06-24
81000,166561,Service Start,2012-06-10
100407,258222,Entered Old DROP,2016-04-29
10775,225386,Service Start,1994-08-08
14548,219611,Resume Service,2011-11-25
48817,250404,Service Start,1997-09-22
121501,140909,Service Start,2007-07-29
28787,206391,Service Start,2007-07-01
94089,261268,Service Start,1993-12-10
26335,179011,Entered Old DROP,2012-08-25
32888,195984,Service Start,2007-10-29
39348,132210,Service Start,2017-03-01
120726,262513,Service Start,2000-08-21
99196,203468,Entered Old DROP,2014-02-28
9982,163378,Service Start,2007-07-01
33330,233859,Entered Old DROP,2015-01-01
70274,204981,Entered Old DROP,2014-09-30
4701,263027,Entered Old DROP,2016-07-20
96948,213102,Service Start,2002-10-28
63220,219139,Service Start,2014-08-11
105491,206200,Service Start,2016-03-28
95627,165015,Service Start,2017-03-06
